rec_id,msgs,fixations,morph_type,lst_type,target,preview,sentence,boundary_index,sentence_len,boundary_shift,pre_target,post_target,type,TextBlock,adjusted_seq,trial_id,GD,FFD,GPD,FoM,trial_type
54,"['trial 23 start', 'trial 23 end']","FixationSequence[Fixation[811,537], ..., Fixation[1539,558]]",simple,1,trumpet,trumpet,A badly broken X lay in the middle of the deserted stage.,14,63,-416.0,A badly broken , lay in the middle of the deserted stage.,trial,TextBlock[A badly broken tr...],"FixationSequence[Fixation[811,537], ..., Fixation[1539,534]]",23,195,195,195,n/a,identical
61,"['trial 24 start', 'trial 24 end']","FixationSequence[Fixation[1178,595], ..., Fixation[1659,542]]",complex,3,eruption,eruzione,They are prepared for a potential X whenever it may come.,33,64,-112.0,They are prepared for a potential , whenever it may come.,trial,TextBlock[They are prepared...],"FixationSequence[Fixation[1178,595], ..., Fixation[1659,534]]",24,179,179,179,n/a,cognate
62,"['trial 25 start', 'trial 25 end']","FixationSequence[Fixation[855,526], ..., Fixation[1553,550]]",simple,2,mountain,mountain,Reducing some of this X of paper would be nice.,21,54,-304.0,Reducing some of this , of paper would be nice.,trial,TextBlock[Reducing some of ...],"FixationSequence[Fixation[855,526], ..., Fixation[1553,534]]",25,158,158,158,n/a,identical
63,"['trial 26 start', 'trial 26 end']","FixationSequence[Fixation[710,521], ..., Fixation[1551,547]]",simple,1,example,enamert,We must consider the previous X of collaboration between the two labs.,29,76,-176.0,We must consider the previous , of collaboration between the two labs.,trial,TextBlock[We must consider ...],"FixationSequence[Fixation[710,521], ..., Fixation[1551,534]]",26,204,204,204,n/a,legal_nonword
64,"['trial 27 start', 'trial 27 end']","FixationSequence[Fixation[892,522], ..., Fixation[1442,540]]",simple,4,nostril,zwygmqv,In the right X there was a little circular piercing.,12,58,-448.0,In the right , there was a little circular piercing.,trial,TextBlock[In the right nost...],"FixationSequence[Fixation[892,522], ..., Fixation[1442,534]]",27,213,213,213,n/a,illegal_nonword
65,"['trial 28 start', 'trial 28 end']","FixationSequence[Fixation[837,544], ..., Fixation[1214,553]]",complex,4,gracious,grazioso,My mother was always X with her house guests.,20,52,-320.0,My mother was always , with her house guests.,trial,TextBlock[My mother was alw...],"FixationSequence[Fixation[837,544], ..., Fixation[1214,534]]",28,172,172,172,n/a,cognate
69,"['trial 29 start', 'trial 29 end']","FixationSequence[Fixation[1180,581], ..., Fixation[1202,541]]",complex,3,glorious,groritus,He would have been truly X as a king in his prime.,24,57,-256.0,He would have been truly , as a king in his prime.,trial,TextBlock[He would have bee...],"FixationSequence[Fixation[1180,581], ..., Fixation[1202,534]]",29,81,81,81,n/a,legal_nonword
73,"['trial 30 start', 'trial 30 end']","FixationSequence[Fixation[760,604], ..., Fixation[1644,548]]",simple,4,change,qdzljy,There might be some X in the use of this tool in the last decade.,19,70,-336.0,There might be some , in the use of this tool in the last decade.,trial,TextBlock[There might be so...],"FixationSequence[Fixation[760,604], ..., Fixation[1644,534]]",30,150,150,150,n/a,illegal_nonword
74,"['trial 31 start', 'trial 31 end']","FixationSequence[Fixation[784,543], ..., Fixation[1463,555]]",complex,2,acidity,lhxzfjb,Some slight additional X can always improve the taste.,22,60,-288.0,Some slight additional , can always improve the taste.,trial,TextBlock[Some slight addit...],"FixationSequence[Fixation[784,543], ..., Fixation[1463,534]]",31,343,343,765,n/a,illegal_nonword
75,"['trial 32 start', 'trial 32 end']","FixationSequence[Fixation[747,558], ..., Fixation[1460,531]]",complex,1,historic,miscori ,For this important X event to occur we need genuine cooperation.,18,71,-352.0,For this important , event to occur we need genuine cooperation.,trial,TextBlock[For this importan...],"FixationSequence[Fixation[747,558], ..., Fixation[1460,534]]",32,159,159,159,n/a,legal_nonword
78,"['trial 33 restart', 'trial 33 end']","FixationSequence[Fixation[991,539], ..., Fixation[1596,537]]",complex,2,asthmatic,xvbwkgqly,Children often experience X attacks as a result of tobacco smoke.,25,73,-240.0,Children often experience , attacks as a result of tobacco smoke.,trial,TextBlock[Children often ex...],"FixationSequence[Fixation[991,539], ..., Fixation[1596,534]]",33,711,171,711,171,illegal_nonword
79,"['trial 34 start', 'trial 34 end']","FixationSequence[Fixation[839,519], ..., Fixation[1384,522]]",simple,2,recruit,recruit,His recent favourite X was a tall muscular boy named Peter.,20,65,-320.0,His recent favourite , was a tall muscular boy named Peter.,trial,TextBlock[His recent favour...],"FixationSequence[Fixation[839,519], ..., Fixation[1384,534]]",34,88,88,88,n/a,identical
80,"['trial 35 start', 'trial 35 end']","FixationSequence[Fixation[914,529], ..., Fixation[1665,566]]",complex,2,humidity,humidity,I think higher X feels worse than having higher temperatures.,14,68,-416.0,I think higher , feels worse than having higher temperatures.,trial,TextBlock[I think higher hu...],"FixationSequence[Fixation[914,529], ..., Fixation[1665,534]]",35,199,199,199,n/a,identical
81,"['trial 36 start', 'trial 36 end']","FixationSequence[Fixation[820,521], ..., Fixation[1471,504]]",simple,1,hygiene,hygiene,The bags contained X items for the earthquake victims.,18,60,-352.0,The bags contained , items for the earthquake victims.,trial,TextBlock[The bags containe...],"FixationSequence[Fixation[820,521], ..., Fixation[1471,534]]",36,191,191,191,n/a,identical
82,"['trial 37 start', 'trial 37 end']","FixationSequence[Fixation[541,505], ..., Fixation[1669,539]]",complex,4,romantics,romantici,He always criticized X when he couldn’t express his own feelings.,20,73,-320.0,He always criticized , when he couldn’t express his own feelings.,trial,TextBlock[He always critici...],"FixationSequence[Fixation[541,505], ..., Fixation[1669,534]]",37,172,172,172,n/a,cognate
83,"['trial 38 start', 'trial 38 end']","FixationSequence[Fixation[474,530], ..., Fixation[1333,536]]",simple,3,lettuce,loctune,This will keep your X fresh and crunchy all week long.,19,60,-336.0,This will keep your , fresh and crunchy all week long.,trial,TextBlock[This will keep yo...],"FixationSequence[Fixation[474,530], ..., Fixation[1333,534]]",38,183,183,183,n/a,legal_nonword
84,"['trial 39 start', 'trial 39 end']","FixationSequence[Fixation[716,515], ..., Fixation[1645,521]]",simple,3,plaque,primue,The best way to eliminate X between your teeth is brushing them well.,25,74,-240.0,The best way to eliminate , between your teeth is brushing them well.,trial,TextBlock[The best way to e...],"FixationSequence[Fixation[716,515], ..., Fixation[1645,534]]",39,182,182,182,n/a,legal_nonword
85,"['trial 40 start', 'trial 40 end']","FixationSequence[Fixation[808,500], ..., Fixation[1585,568]]",complex,1,pianists,peaniste,It's impressive how effortlessly X improvise when playing jazz.,32,70,-128.0,It's impressive how effortlessly , improvise when playing jazz.,trial,TextBlock[It's impressive h...],"FixationSequence[Fixation[808,500], ..., Fixation[1585,534]]",40,394,195,394,195,legal_nonword
86,"['trial 41 start', 'trial 41 end']","FixationSequence[Fixation[827,508], ..., Fixation[1658,538]]",complex,3,eruption,ecaptian,A completely unexpected X from the moka sprayed coffee on the walls.,23,75,-272.0,A completely unexpected , from the moka sprayed coffee on the walls.,trial,TextBlock[A completely unex...],"FixationSequence[Fixation[827,508], ..., Fixation[1658,534]]",41,126,126,126,n/a,legal_nonword
87,"['trial 42 start', 'trial 42 end']","FixationSequence[Fixation[602,508], ..., Fixation[1426,529]]",complex,4,dignified,lpxqhcvkm,He doesn't deserve a graceful X exit after what he's done.,29,66,-176.0,He doesn't deserve a graceful , exit after what he's done.,trial,TextBlock[He doesn't deserv...],"FixationSequence[Fixation[602,508], ..., Fixation[1426,534]]",42,199,199,199,n/a,illegal_nonword
88,"['trial 43 start', 'trial 43 end']","FixationSequence[Fixation[399,534], ..., Fixation[1513,548]]",simple,3,yellow,gollia,There were large X plates on the table for the main course.,16,64,-384.0,There were large , plates on the table for the main course.,trial,TextBlock[There were large ...],"FixationSequence[Fixation[399,534], ..., Fixation[1513,534]]",43,169,169,169,n/a,legal_nonword
90,"['trial 44 restart', 'trial 44 end']","FixationSequence[Fixation[955,544], ..., Fixation[1363,537]]",simple,2,sphere,sphere,After a while their X of influence started to increase.,19,60,-336.0,After a while their , of influence started to increase.,trial,TextBlock[After a while the...],"FixationSequence[Fixation[955,544], ..., Fixation[1363,534]]",44,190,190,190,n/a,identical
91,"['trial 45 start', 'trial 45 end']","FixationSequence[Fixation[525,564], ..., Fixation[1620,575]]",simple,3,nephew,nipote,This time one other X was there for Ben during his breakdown.,19,66,-336.0,This time one other , was there for Ben during his breakdown.,trial,TextBlock[This time one oth...],"FixationSequence[Fixation[525,564], ..., Fixation[1620,534]]",45,291,291,291,n/a,cognate
101,"['trial 46 start', 'trial 46 end']","FixationSequence[Fixation[754,611], ..., Fixation[1550,578]]",complex,3,violence,violenza,If you promote X then it might be used on you too.,14,57,-416.0,If you promote , then it might be used on you too.,trial,TextBlock[If you promote vi...],"FixationSequence[Fixation[754,611], ..., Fixation[1550,534]]",46,164,164,164,n/a,cognate
105,"['trial 47 start', 'trial 47 end']","FixationSequence[Fixation[761,599], ..., Fixation[1588,567]]",complex,1,sanity,manitu,Any hope of a future X depended on our willingness to listen.,20,66,-320.0,Any hope of a future , depended on our willingness to listen.,trial,TextBlock[Any hope of a fut...],"FixationSequence[Fixation[761,599], ..., Fixation[1588,534]]",47,161,161,161,n/a,legal_nonword
112,"['trial 48 start', 'trial 48 end']","FixationSequence[Fixation[760,609], ..., Fixation[1516,558]]",simple,4,change,cambio,Looks like more X than anyone expected at the beginning of the project.,15,76,-400.0,Looks like more , than anyone expected at the beginning of the project.,trial,TextBlock[Looks like more c...],"FixationSequence[Fixation[760,609], ..., Fixation[1516,534]]",48,168,168,168,n/a,cognate
113,"['trial 49 start', 'trial 49 end']","FixationSequence[Fixation[706,555], ..., Fixation[1702,554]]",complex,3,signals,segnali,He continued to display X on the side of the field to motivate players.,23,77,-272.0,He continued to display , on the side of the field to motivate players.,trial,TextBlock[He continued to d...],"FixationSequence[Fixation[706,555], ..., Fixation[1702,534]]",49,199,199,199,n/a,cognate
114,"['trial 50 start', 'trial 50 end']","FixationSequence[Fixation[496,552], ..., Fixation[1630,578]]",simple,3,theorem,cheorea,It is a solid X now despite the time it took to prove it.,13,63,-432.0,It is a solid , now despite the time it took to prove it.,trial,TextBlock[It is a solid the...],"FixationSequence[Fixation[496,552], ..., Fixation[1630,534]]",50,218,218,218,n/a,legal_nonword
115,"['trial 51 start', 'trial 51 end']","FixationSequence[Fixation[863,551], ..., Fixation[1695,565]]",complex,1,fortress,firtesco,John had made a personal X of his library and was a private scholar.,24,75,-256.0,John had made a personal , of his library and was a private scholar.,trial,TextBlock[John had made a p...],"FixationSequence[Fixation[863,551], ..., Fixation[1695,534]]",51,248,248,248,n/a,legal_nonword
116,"['trial 52 start', 'trial 52 end']","FixationSequence[Fixation[851,532], ..., Fixation[1400,542]]",simple,3,spinach,slinaco,After a short wait seven X bowls were brought to the table.,24,65,-256.0,After a short wait seven , bowls were brought to the table.,trial,TextBlock[After a short wai...],"FixationSequence[Fixation[851,532], ..., Fixation[1400,534]]",52,233,233,233,n/a,legal_nonword
120,"['trial 53 start', 'trial 53 end']","FixationSequence[Fixation[1139,621], ..., Fixation[1683,621]]",simple,2,vehicle,pyjmgqd,Yesterday I saw another X on that street in the middle of the day.,23,72,-272.0,Yesterday I saw another , on that street in the middle of the day.,trial,TextBlock[Yesterday I saw a...],"FixationSequence[Fixation[1139,621], ..., Fixation[1683,534]]",53,380,380,380,n/a,illegal_nonword
121,"['trial 54 start', 'trial 54 end']","FixationSequence[Fixation[681,526], ..., Fixation[1682,566]]",simple,2,island,yrbgqh,Our own little X of personal space is our table in the restaurant.,14,71,-416.0,Our own little , of personal space is our table in the restaurant.,trial,TextBlock[Our own little is...],"FixationSequence[Fixation[681,526], ..., Fixation[1682,534]]",54,236,236,236,n/a,illegal_nonword
122,"['trial 55 start', 'trial 55 end']","FixationSequence[Fixation[601,555], ..., Fixation[1526,556]]",complex,4,northern,nordico ,It's actually between X Spain and the south of France.,21,61,-304.0,It's actually between , Spain and the south of France.,trial,TextBlock[It's actually bet...],"FixationSequence[Fixation[601,555], ..., Fixation[1526,534]]",55,305,215,305,215,cognate
123,"['trial 56 start', 'trial 56 end']","FixationSequence[Fixation[799,536], ..., Fixation[1618,581]]",simple,3,spinach,spinaci,The look of the brownish X didn't appeal to him at all.,24,61,-256.0,The look of the brownish , didn't appeal to him at all.,trial,TextBlock[The look of the b...],"FixationSequence[Fixation[799,536], ..., Fixation[1618,534]]",56,235,235,235,n/a,cognate
127,"['trial 57 start', 'trial 57 end']","FixationSequence[Fixation[764,590], ..., Fixation[1493,551]]",complex,4,northern,qsxpzmbk,This is the great X tradition of coffee breaks called fika.,17,66,-368.0,This is the great , tradition of coffee breaks called fika.,trial,TextBlock[This is the great...],"FixationSequence[Fixation[764,590], ..., Fixation[1493,534]]",57,149,149,149,n/a,illegal_nonword
131,"['trial 58 start', 'trial 58 end']","FixationSequence[Fixation[1158,618], ..., Fixation[1496,566]]",simple,3,horror,orpora,Think of it as a typical X film where the monsters end up defeated.,24,72,-256.0,Think of it as a typical , film where the monsters end up defeated.,trial,TextBlock[Think of it as a ...],"FixationSequence[Fixation[1158,618], ..., Fixation[1496,534]]",58,190,190,190,n/a,legal_nonword
132,"['trial 59 start', 'trial 59 end']","FixationSequence[Fixation[706,557], ..., Fixation[1637,579]]",complex,4,romantics,pvswfkdtb,All of those X out there believe that her lover married her.,12,68,-448.0,All of those , out there believe that her lover married her.,trial,TextBlock[All of those roma...],"FixationSequence[Fixation[706,557], ..., Fixation[1637,534]]",59,448,128,448,128,illegal_nonword
133,"['trial 60 start', 'trial 60 end']","FixationSequence[Fixation[840,522], ..., Fixation[1588,560]]",complex,2,sculptor,jzghxmfq,A very controversial X designed this piece last year.,20,60,-320.0,A very controversial , designed this piece last year.,trial,TextBlock[A very controvers...],"FixationSequence[Fixation[840,522], ..., Fixation[1588,534]]",60,328,157,328,157,illegal_nonword
134,"['trial 61 start', 'trial 61 end']","FixationSequence[Fixation[514,550], ..., Fixation[1611,554]]",complex,1,greatness,grentieno,George is exceptional at seeing X in someone young and training them.,31,77,-144.0,George is exceptional at seeing , in someone young and training them.,trial,TextBlock[George is excepti...],"FixationSequence[Fixation[514,550], ..., Fixation[1611,534]]",61,258,258,2403,n/a,legal_nonword
135,"['trial 62 start', 'trial 62 end']","FixationSequence[Fixation[882,532], ..., Fixation[1657,560]]",complex,4,gracious,vkmlyhjw,While still sounding X and complimenting his employees he resigned.,20,74,-320.0,While still sounding , and complimenting his employees he resigned.,trial,TextBlock[While still sound...],"FixationSequence[Fixation[882,532], ..., Fixation[1657,534]]",62,204,204,204,n/a,illegal_nonword
136,"['trial 63 start', 'trial 63 end']","FixationSequence[Fixation[628,537], ..., Fixation[1595,546]]",complex,4,dignified,dignitoso,We need to develop X human rights laws for refugees.,18,60,-352.0,We need to develop , human rights laws for refugees.,trial,TextBlock[We need to develo...],"FixationSequence[Fixation[628,537], ..., Fixation[1595,534]]",63,153,153,153,n/a,cognate
140,"['trial 64 start', 'trial 64 end']","FixationSequence[Fixation[1188,610], ..., Fixation[1784,585]]",simple,1,paddle,pombre,Only one old blue X was left in the boat when they checked.,17,64,-368.0,Only one old blue , was left in the boat when they checked.,trial,TextBlock[Only one old blue...],"FixationSequence[Fixation[1188,610], ..., Fixation[1784,534]]",64,347,178,615,178,legal_nonword
142,"['trial 65 start', 'trial 65 end']","FixationSequence[Fixation[945,541], ..., Fixation[1660,521]]",complex,3,audible,aifible,The dog is definitely X when he spots a cat down the street.,21,66,-304.0,The dog is definitely , when he spots a cat down the street.,trial,TextBlock[The dog is defini...],"FixationSequence[Fixation[945,541], ..., Fixation[1660,534]]",65,174,174,174,n/a,legal_nonword
143,"['trial 66 start', 'trial 66 end']","FixationSequence[Fixation[932,534], ..., Fixation[1593,533]]",simple,2,vehicle,vehicle,It's definitely a great X for a large family.,23,51,-272.0,It's definitely a great , for a large family.,trial,TextBlock[It's definitely a...],"FixationSequence[Fixation[932,534], ..., Fixation[1593,534]]",66,178,178,178,n/a,identical
144,"['trial 67 start', 'trial 67 end']","FixationSequence[Fixation[735,526], ..., Fixation[1317,555]]",simple,1,prophet,troglet,He found the young X at the back of the church.,18,53,-352.0,He found the young , at the back of the church.,trial,TextBlock[He found the youn...],"FixationSequence[Fixation[735,526], ..., Fixation[1317,534]]",67,399,184,399,184,legal_nonword
145,"['trial 68 start', 'trial 68 end']","FixationSequence[Fixation[813,521], ..., Fixation[1335,558]]",complex,2,bandages,bandages,There were clean X left on the floor of the hospital.,16,60,-384.0,There were clean , left on the floor of the hospital.,trial,TextBlock[There were clean ...],"FixationSequence[Fixation[813,521], ..., Fixation[1335,534]]",68,313,313,313,n/a,identical
146,"['trial 69 start', 'trial 69 end']","FixationSequence[Fixation[688,525], ..., Fixation[1442,541]]",simple,4,nostril,narice ,I bought an electric X groomer from the same store.,20,57,-320.0,I bought an electric , groomer from the same store.,trial,TextBlock[I bought an elect...],"FixationSequence[Fixation[688,525], ..., Fixation[1442,534]]",69,341,158,341,158,cognate
147,"['trial 70 start', 'trial 70 end']","FixationSequence[Fixation[431,525], ..., Fixation[1726,558]]",simple,2,genius,tvkxmh,She is one of those X characters who don't work hard but succeed anyway.,19,77,-336.0,She is one of those , characters who don't work hard but succeed anyway.,trial,TextBlock[She is one of tho...],"FixationSequence[Fixation[431,525], ..., Fixation[1726,534]]",70,202,202,202,n/a,illegal_nonword
148,"['trial 71 start', 'trial 71 end']","FixationSequence[Fixation[650,540], ..., Fixation[1560,523]]",simple,1,school,oscolo,With so much X work to do they didn't have time to travel much.,12,68,-448.0,With so much , work to do they didn't have time to travel much.,trial,TextBlock[With so much scho...],"FixationSequence[Fixation[650,540], ..., Fixation[1560,534]]",71,379,379,379,n/a,legal_nonword
152,"['trial 72 start', 'trial 72 end']","FixationSequence[Fixation[1164,592], ..., Fixation[1631,561]]",complex,3,vigilance,vigilanza,I appreciate your tireless X in getting the truth out there.,26,68,-224.0,I appreciate your tireless , in getting the truth out there.,trial,TextBlock[I appreciate your...],"FixationSequence[Fixation[1164,592], ..., Fixation[1631,534]]",72,198,198,198,n/a,cognate
159,"['trial 73 start', 'trial 73 end']","FixationSequence[Fixation[772,590], ..., Fixation[1173,572]]",complex,4,european,gkmlcdht,That's a very X point of view on recycling.,13,50,-432.0,That's a very , point of view on recycling.,trial,TextBlock[That's a very eur...],"FixationSequence[Fixation[772,590], ..., Fixation[1173,534]]",73,162,162,162,n/a,illegal_nonword
160,"['trial 74 start', 'trial 74 end']","FixationSequence[Fixation[750,525], ..., Fixation[1479,532]]",simple,4,throne,sbzvlm,He dashed into the crowded X room without hesitation.,26,58,-224.0,He dashed into the crowded , room without hesitation.,trial,TextBlock[He dashed into th...],"FixationSequence[Fixation[750,525], ..., Fixation[1479,534]]",74,463,463,2705,n/a,illegal_nonword
164,"['trial 75 start', 'trial 75 end']","FixationSequence[Fixation[754,585], ..., Fixation[1425,538]]",simple,4,throne,trono ,The small purple X for the prince sat at the head of his table.,16,68,-384.0,The small purple , for the prince sat at the head of his table.,trial,TextBlock[The small purple ...],"FixationSequence[Fixation[754,585], ..., Fixation[1425,534]]",75,193,193,193,n/a,cognate
165,"['trial 76 start', 'trial 76 end']","FixationSequence[Fixation[777,549], ..., Fixation[1466,543]]",complex,1,fortress,fortress,She told us about the black X on a hill above all the land.,27,66,-208.0,She told us about the black , on a hill above all the land.,trial,TextBlock[She told us about...],"FixationSequence[Fixation[777,549], ..., Fixation[1466,534]]",76,183,183,183,n/a,identical
166,"['trial 77 start', 'trial 77 end']","FixationSequence[Fixation[711,540], ..., Fixation[1694,559]]",complex,4,density,densità,Our bodies are the right X not to float away into space.,24,62,-256.0,Our bodies are the right , not to float away into space.,trial,TextBlock[Our bodies are th...],"FixationSequence[Fixation[711,540], ..., Fixation[1694,534]]",77,336,175,336,175,cognate
