,sbj_ID,rec_id,msgs,fixations,morph_type,lst_type,target,preview,sentence,boundary_index,sentence_len,boundary_shift,pre_target,post_target,type,TextBlock,adjusted_seq,trial_issue,noshorts_seq,nolongs_seq,cleaned_seq,trial_id,GD_all,FFD_all,GPD_all,FoM_all,GD_noshortfixs,FFD_noshortfixs,GPD_noshortfixs,FoM_noshortfixs,GD_nolongfixs,FFD_nolongfixs,GPD_nolongfixs,FoM_nolongfixs,GD_cleanedfixs,FFD_cleanedfixs,GPD_cleanedfixs,FoM_cleanedfixs,trial_type
10,3,30,"['trial 11 start', 'trial 11 end']","FixationSequence[Fixation[307,535], ..., Fixation[1576,534]]",simple,3,marathon,maratona,He missed the previous X and the one before that because of an injury.,22,77,-288.0,He missed the previous , and the one before that because of an injury.,trial,TextBlock[He missed the pre...],"FixationSequence[Fixation[307,534], ..., Fixation[1576,534]]",N,"FixationSequence[Fixation[307,534], ..., Fixation[1576,534]]","FixationSequence[Fixation[307,534], ..., Fixation[1576,534]]","FixationSequence[Fixation[307,534], ..., Fixation[1576,534]]",11.0,526.0,370.0,526.0,370.0,526.0,370.0,526.0,370.0,526.0,370.0,526.0,370.0,526.0,370.0,526.0,370.0,cognate
11,3,34,"['trial 12 start', 'trial 12 end']","FixationSequence[Fixation[306,549], ..., Fixation[1644,545]]",simple,1,synagogue,sonacoge ,You may expect every X to be different in some way.,20,59,-320.0,You may expect every , to be different in some way.,trial,TextBlock[You may expect ev...],"FixationSequence[Fixation[306,534], ..., Fixation[1644,534]]",N,"FixationSequence[Fixation[306,534], ..., Fixation[1644,534]]","FixationSequence[Fixation[306,534], ..., Fixation[1644,534]]","FixationSequence[Fixation[306,534], ..., Fixation[1644,534]]",12.0,1427.0,536.0,2600.0,536.0,1427.0,536.0,2600.0,536.0,1427.0,536.0,2600.0,536.0,1427.0,536.0,2600.0,536.0,legal_nonword
12,3,35,"['trial 13 start', 'trial 13 end']","FixationSequence[Fixation[318,550], ..., Fixation[1624,509]]",complex,1,asthmatic,asthmatic,He quickly became X and had trouble breathing.,17,54,-368.0,He quickly became , and had trouble breathing.,trial,TextBlock[He quickly became...],"FixationSequence[Fixation[318,534], ..., Fixation[1624,534]]",N,"FixationSequence[Fixation[318,534], ..., Fixation[1624,534]]","FixationSequence[Fixation[318,534], ..., Fixation[1624,534]]","FixationSequence[Fixation[318,534], ..., Fixation[1624,534]]",13.0,681.0,289.0,681.0,289.0,681.0,289.0,681.0,289.0,681.0,289.0,681.0,289.0,681.0,289.0,681.0,289.0,identical
13,3,36,"['trial 14 start', 'trial 14 end']","FixationSequence[Fixation[295,460], ..., Fixation[1608,524]]",complex,1,humidity,umiditi ,Try to maintain the right X and temperature to prevent spoiling.,25,71,-240.0,Try to maintain the right , and temperature to prevent spoiling.,trial,TextBlock[Try to maintain t...],"FixationSequence[Fixation[295,534], ..., Fixation[1608,534]]",N,"FixationSequence[Fixation[295,534], ..., Fixation[1608,534]]","FixationSequence[Fixation[295,534], ..., Fixation[1608,534]]","FixationSequence[Fixation[295,534], ..., Fixation[1608,534]]",14.0,601.0,442.0,601.0,442.0,601.0,442.0,601.0,442.0,601.0,442.0,601.0,442.0,601.0,442.0,601.0,442.0,legal_nonword
14,3,37,"['trial 15 start', 'trial 15 end']","FixationSequence[Fixation[314,537], ..., Fixation[1470,527]]",simple,2,horror,mgdkzq,Think of it as a typical X film where the monsters end up defeated.,24,72,-256.0,Think of it as a typical , film where the monsters end up defeated.,trial,TextBlock[Think of it as a ...],"FixationSequence[Fixation[314,534], ..., Fixation[1470,534]]",N,"FixationSequence[Fixation[314,534], ..., Fixation[1470,534]]","FixationSequence[Fixation[314,534], ..., Fixation[1470,534]]","FixationSequence[Fixation[314,534], ..., Fixation[1470,534]]",15.0,355.0,355.0,355.0,,355.0,355.0,355.0,,355.0,355.0,355.0,,355.0,355.0,355.0,,illegal_nonword
15,3,38,"['trial 16 start', 'trial 16 end']","FixationSequence[Fixation[327,520], ..., Fixation[1634,528]]",complex,4,historic,jznbvpdw,For this important X event to occur we need genuine cooperation.,18,71,-352.0,For this important , event to occur we need genuine cooperation.,trial,TextBlock[For this importan...],"FixationSequence[Fixation[327,534], ..., Fixation[1634,534]]",N,"FixationSequence[Fixation[327,534], ..., Fixation[1634,534]]","FixationSequence[Fixation[327,534], ..., Fixation[1634,534]]","FixationSequence[Fixation[327,534], ..., Fixation[1634,534]]",16.0,363.0,141.0,363.0,141.0,363.0,141.0,363.0,141.0,363.0,141.0,363.0,141.0,363.0,141.0,363.0,141.0,illegal_nonword
16,3,39,"['trial 17 start', 'trial 17 end']","FixationSequence[Fixation[305,525], ..., Fixation[1480,526]]",complex,3,european,europeo ,Half of the recent X car sales are reported to be electric cars.,18,71,-352.0,Half of the recent , car sales are reported to be electric cars.,trial,TextBlock[Half of the recen...],"FixationSequence[Fixation[305,534], ..., Fixation[1480,534]]",N,"FixationSequence[Fixation[305,534], ..., Fixation[1480,534]]","FixationSequence[Fixation[305,534], ..., Fixation[1480,534]]","FixationSequence[Fixation[305,534], ..., Fixation[1480,534]]",17.0,354.0,354.0,354.0,,354.0,354.0,354.0,,354.0,354.0,354.0,,354.0,354.0,354.0,,cognate
17,3,43,"['trial 18 start', 'trial 18 end']","FixationSequence[Fixation[332,551], ..., Fixation[1442,490]]",simple,1,mountain,moaprain,After this one there will be another X before the end of our quest.,36,74,-64.0,After this one there will be another , before the end of our quest.,trial,TextBlock[After this one th...],"FixationSequence[Fixation[332,534], ..., Fixation[1442,534]]",N,"FixationSequence[Fixation[332,534], ..., Fixation[1442,534]]","FixationSequence[Fixation[332,534], ..., Fixation[1442,534]]","FixationSequence[Fixation[332,534], ..., Fixation[1442,534]]",18.0,246.0,246.0,246.0,,246.0,246.0,246.0,,246.0,246.0,246.0,,246.0,246.0,246.0,,legal_nonword
18,3,47,"['trial 19 start', 'trial 19 end']","FixationSequence[Fixation[341,540], ..., Fixation[1388,542]]",complex,3,romantics,romantici,He always criticized X when he couldnt express his own feelings.,20,73,-320.0,He always criticized , when he couldnt express his own feelings.,trial,TextBlock[He always critici...],"FixationSequence[Fixation[341,534], ..., Fixation[1388,534]]",N,"FixationSequence[Fixation[341,534], ..., Fixation[1388,534]]","FixationSequence[Fixation[341,534], ..., Fixation[1388,534]]","FixationSequence[Fixation[341,534], ..., Fixation[1388,534]]",19.0,280.0,280.0,999.0,,280.0,280.0,999.0,,280.0,280.0,999.0,,280.0,280.0,999.0,,cognate
19,3,54,"['trial 20 start', 'trial 20 end']","FixationSequence[Fixation[326,560], ..., Fixation[1271,518]]",simple,2,spinach,spinach,The look of the brownish X didn't appeal to him at all.,24,61,-256.0,The look of the brownish , didn't appeal to him at all.,trial,TextBlock[The look of the b...],"FixationSequence[Fixation[326,534], ..., Fixation[1271,534]]",N,"FixationSequence[Fixation[326,534], ..., Fixation[1271,534]]","FixationSequence[Fixation[326,534], ..., Fixation[1271,534]]","FixationSequence[Fixation[326,534], ..., Fixation[1271,534]]",20.0,633.0,633.0,633.0,,633.0,633.0,633.0,,633.0,633.0,633.0,,633.0,633.0,633.0,,identical
20,3,55,"['trial 21 start', 'trial 21 end']","FixationSequence[Fixation[323,524], ..., Fixation[1349,523]]",simple,4,paddle,jxnhvr,Only one old blue X was left in the boat when they checked.,17,64,-368.0,Only one old blue , was left in the boat when they checked.,trial,TextBlock[Only one old blue...],"FixationSequence[Fixation[323,534], ..., Fixation[1349,534]]",N,"FixationSequence[Fixation[323,534], ..., Fixation[1349,534]]","FixationSequence[Fixation[323,534], ..., Fixation[1349,534]]","FixationSequence[Fixation[323,534], ..., Fixation[1349,534]]",21.0,576.0,356.0,576.0,356.0,576.0,356.0,576.0,356.0,576.0,356.0,576.0,356.0,576.0,356.0,576.0,356.0,illegal_nonword
21,3,56,"['trial 22 start', 'trial 22 end']","FixationSequence[Fixation[339,556], ..., Fixation[1615,519]]",complex,2,audible,zpngfvj,The dog is definitely X when he spots a cat down the street.,21,66,-304.0,The dog is definitely , when he spots a cat down the street.,trial,TextBlock[The dog is defini...],"FixationSequence[Fixation[339,534], ..., Fixation[1615,534]]",N,"FixationSequence[Fixation[339,534], ..., Fixation[1615,534]]","FixationSequence[Fixation[339,534], ..., Fixation[1615,534]]","FixationSequence[Fixation[339,534], ..., Fixation[1615,534]]",22.0,503.0,209.0,503.0,209.0,503.0,209.0,503.0,209.0,503.0,209.0,503.0,209.0,503.0,209.0,503.0,209.0,illegal_nonword
22,3,57,"['trial 23 start', 'trial 23 end']","FixationSequence[Fixation[322,524], ..., Fixation[1531,518]]",complex,1,sculptor,sculptor,Charles was the only X to have understood what I wanted.,20,63,-320.0,Charles was the only , to have understood what I wanted.,trial,TextBlock[Charles was the o...],"FixationSequence[Fixation[322,534], ..., Fixation[1531,534]]",N,"FixationSequence[Fixation[322,534], ..., Fixation[1531,534]]","FixationSequence[Fixation[322,534], ..., Fixation[1531,534]]","FixationSequence[Fixation[322,534], ..., Fixation[1531,534]]",23.0,294.0,294.0,294.0,,294.0,294.0,294.0,,294.0,294.0,294.0,,294.0,294.0,294.0,,identical
23,3,58,"['trial 24 start', 'trial 24 end']","FixationSequence[Fixation[328,540], ..., Fixation[1274,521]]",complex,1,acidity,agidito,Some slight additional X can always improve the taste.,22,60,-288.0,Some slight additional , can always improve the taste.,trial,TextBlock[Some slight addit...],"FixationSequence[Fixation[328,534], ..., Fixation[1274,534]]",N,"FixationSequence[Fixation[328,534], ..., Fixation[1274,534]]","FixationSequence[Fixation[328,534], ..., Fixation[1274,534]]","FixationSequence[Fixation[328,534], ..., Fixation[1274,534]]",24.0,682.0,376.0,682.0,376.0,682.0,376.0,682.0,376.0,682.0,376.0,682.0,376.0,682.0,376.0,682.0,376.0,legal_nonword
24,3,59,"['trial 25 start', 'trial 25 end']","FixationSequence[Fixation[320,511], ..., Fixation[1269,537]]",complex,4,sanity,sanità,Let's bring some X back into this debate.,16,46,-384.0,Let's bring some , back into this debate.,trial,TextBlock[Let's bring some ...],"FixationSequence[Fixation[320,534], ..., Fixation[1269,534]]",N,"FixationSequence[Fixation[320,534], ..., Fixation[1269,534]]","FixationSequence[Fixation[320,534], ..., Fixation[1269,534]]","FixationSequence[Fixation[320,534], ..., Fixation[1269,534]]",25.0,443.0,276.0,443.0,276.0,443.0,276.0,443.0,276.0,443.0,276.0,443.0,276.0,443.0,276.0,443.0,276.0,cognate
25,3,66,"['trial 26 start', 'trial 26 end']","FixationSequence[Fixation[308,529], ..., Fixation[1432,545]]",complex,3,european,erropea ,That's a very X point of view on recycling.,13,50,-432.0,That's a very , point of view on recycling.,trial,TextBlock[That's a very eur...],"FixationSequence[Fixation[308,534], ..., Fixation[1432,534]]",N,"FixationSequence[Fixation[308,534], ..., Fixation[1432,534]]","FixationSequence[Fixation[308,534], ..., Fixation[1432,534]]","FixationSequence[Fixation[308,534], ..., Fixation[1432,534]]",26.0,534.0,377.0,534.0,377.0,534.0,377.0,534.0,377.0,534.0,377.0,534.0,377.0,534.0,377.0,534.0,377.0,legal_nonword
26,3,67,"['trial 27 start', 'trial 27 end']","FixationSequence[Fixation[322,524], ..., Fixation[1607,553]]",complex,3,northern,nordico ,It's actually between X Spain and the south of France.,21,61,-304.0,It's actually between , Spain and the south of France.,trial,TextBlock[It's actually bet...],"FixationSequence[Fixation[322,534], ..., Fixation[1607,534]]",N,"FixationSequence[Fixation[322,534], ..., Fixation[1607,534]]","FixationSequence[Fixation[322,534], ..., Fixation[1607,534]]","FixationSequence[Fixation[322,534], ..., Fixation[1607,534]]",27.0,391.0,239.0,391.0,239.0,391.0,239.0,391.0,239.0,391.0,239.0,391.0,239.0,391.0,239.0,391.0,239.0,cognate
27,3,71,"['trial 28 start', 'trial 28 end']","FixationSequence[Fixation[336,538], ..., Fixation[1664,542]]",complex,4,fortress,ydnxklgm,John had made a personal X of his library and was a private scholar.,24,75,-256.0,John had made a personal , of his library and was a private scholar.,trial,TextBlock[John had made a p...],"FixationSequence[Fixation[336,534], ..., Fixation[1664,534]]",N,"FixationSequence[Fixation[336,534], ..., Fixation[1664,534]]","FixationSequence[Fixation[336,534], ..., Fixation[1664,534]]","FixationSequence[Fixation[336,534], ..., Fixation[1664,534]]",28.0,462.0,262.0,462.0,262.0,462.0,262.0,462.0,262.0,462.0,262.0,462.0,262.0,462.0,262.0,462.0,262.0,illegal_nonword
28,3,72,"['trial 29 start', 'trial 29 end']","FixationSequence[Fixation[325,534], ..., Fixation[1396,524]]",simple,3,marathon,paratron,The important thing during X training is not to run too quickly.,26,71,-224.0,The important thing during , training is not to run too quickly.,trial,TextBlock[The important thi...],"FixationSequence[Fixation[325,534], ..., Fixation[1396,534]]",N,"FixationSequence[Fixation[325,534], ..., Fixation[1396,534]]","FixationSequence[Fixation[325,534], ..., Fixation[1396,534]]","FixationSequence[Fixation[325,534], ..., Fixation[1396,534]]",29.0,598.0,598.0,2310.0,,598.0,598.0,2310.0,,598.0,598.0,2310.0,,598.0,598.0,2310.0,,legal_nonword
29,3,73,"['trial 30 start', 'trial 30 end']","FixationSequence[Fixation[321,552], ..., Fixation[1191,544]]",complex,4,zealous,zelante,Some people are more X than others at church.,20,51,-320.0,Some people are more , than others at church.,trial,TextBlock[Some people are m...],"FixationSequence[Fixation[321,534], ..., Fixation[1191,534]]",N,"FixationSequence[Fixation[321,534], ..., Fixation[1191,534]]","FixationSequence[Fixation[388,534], ..., Fixation[1191,534]]","FixationSequence[Fixation[388,534], ..., Fixation[1191,534]]",30.0,218.0,218.0,1981.0,,218.0,218.0,1981.0,,218.0,218.0,1981.0,,218.0,218.0,1981.0,,cognate
30,3,74,"['trial 31 start', 'trial 31 end']","FixationSequence[Fixation[327,559], ..., Fixation[1337,536]]",complex,1,bandages,bandages,There were clean X left on the floor of the hospital.,16,60,-384.0,There were clean , left on the floor of the hospital.,trial,TextBlock[There were clean ...],"FixationSequence[Fixation[327,534], ..., Fixation[1337,534]]",N,"FixationSequence[Fixation[327,534], ..., Fixation[1337,534]]","FixationSequence[Fixation[327,534], ..., Fixation[1337,534]]","FixationSequence[Fixation[327,534], ..., Fixation[1337,534]]",31.0,660.0,364.0,660.0,364.0,660.0,364.0,660.0,364.0,660.0,364.0,660.0,364.0,660.0,364.0,660.0,364.0,identical
31,3,75,"['trial 32 start', 'trial 32 end']","FixationSequence[Fixation[304,539], ..., Fixation[1572,538]]",simple,3,change,cambio,Looks like more X than anyone expected at the beginning of the project.,15,76,-400.0,Looks like more , than anyone expected at the beginning of the project.,trial,TextBlock[Looks like more c...],"FixationSequence[Fixation[304,534], ..., Fixation[1572,534]]",N,"FixationSequence[Fixation[304,534], ..., Fixation[1572,534]]","FixationSequence[Fixation[304,534], ..., Fixation[1572,534]]","FixationSequence[Fixation[304,534], ..., Fixation[1572,534]]",32.0,236.0,236.0,236.0,,236.0,236.0,236.0,,236.0,236.0,236.0,,236.0,236.0,236.0,,cognate
32,3,79,"['trial 33 start', 'trial 33 end']","FixationSequence[Fixation[350,533], ..., Fixation[1354,537]]",simple,3,platoon,plotone,Those in the first X were the ones who get hurt the worst.,18,64,-352.0,Those in the first , were the ones who get hurt the worst.,trial,TextBlock[Those in the firs...],"FixationSequence[Fixation[350,534], ..., Fixation[1354,534]]",N,"FixationSequence[Fixation[350,534], ..., Fixation[1354,534]]","FixationSequence[Fixation[350,534], ..., Fixation[1354,534]]","FixationSequence[Fixation[350,534], ..., Fixation[1354,534]]",33.0,656.0,154.0,656.0,154.0,656.0,154.0,656.0,154.0,656.0,154.0,656.0,154.0,656.0,154.0,656.0,154.0,cognate
33,3,80,"['trial 34 start', 'trial 34 end']","FixationSequence[Fixation[323,525], ..., Fixation[1556,522]]",simple,2,plaque,brjtsd,The best way to eliminate X between your teeth is brushing them well.,25,74,-240.0,The best way to eliminate , between your teeth is brushing them well.,trial,TextBlock[The best way to e...],"FixationSequence[Fixation[323,534], ..., Fixation[1556,534]]",N,"FixationSequence[Fixation[323,534], ..., Fixation[1556,534]]","FixationSequence[Fixation[323,534], ..., Fixation[1556,534]]","FixationSequence[Fixation[323,534], ..., Fixation[1556,534]]",34.0,289.0,289.0,289.0,,289.0,289.0,289.0,,289.0,289.0,289.0,,289.0,289.0,289.0,,illegal_nonword
34,3,84,"['trial 35 start', 'trial 35 end']","FixationSequence[Fixation[337,538], ..., Fixation[1385,523]]",simple,2,resource,resource,It's an amazing X for young students interested in biology.,15,66,-400.0,It's an amazing , for young students interested in biology.,trial,TextBlock[It's an amazing r...],"FixationSequence[Fixation[337,534], ..., Fixation[1385,534]]",N,"FixationSequence[Fixation[337,534], ..., Fixation[1385,534]]","FixationSequence[Fixation[337,534], ..., Fixation[1385,534]]","FixationSequence[Fixation[337,534], ..., Fixation[1385,534]]",35.0,428.0,428.0,428.0,,428.0,428.0,428.0,,428.0,428.0,428.0,,428.0,428.0,428.0,,identical
35,3,85,"['trial 36 start', 'trial 36 end']","FixationSequence[Fixation[331,538], ..., Fixation[1262,553]]",simple,1,parcel,parcel,There was a large X on her doorstep when she got home.,17,59,-368.0,There was a large , on her doorstep when she got home.,trial,TextBlock[There was a large...],"FixationSequence[Fixation[331,534], ..., Fixation[1262,534]]",N,"FixationSequence[Fixation[331,534], ..., Fixation[1262,534]]","FixationSequence[Fixation[331,534], ..., Fixation[1262,534]]","FixationSequence[Fixation[331,534], ..., Fixation[1262,534]]",36.0,334.0,334.0,334.0,,334.0,334.0,334.0,,334.0,334.0,334.0,,334.0,334.0,334.0,,identical
36,3,86,"['trial 37 start', 'trial 37 end']","FixationSequence[Fixation[324,532], ..., Fixation[1357,536]]",complex,3,soloist,saloiso,Jessica was a former X for the national orchestra in Paris.,20,65,-320.0,Jessica was a former , for the national orchestra in Paris.,trial,TextBlock[Jessica was a for...],"FixationSequence[Fixation[324,534], ..., Fixation[1357,534]]",N,"FixationSequence[Fixation[324,534], ..., Fixation[1357,534]]","FixationSequence[Fixation[324,534], ..., Fixation[1357,534]]","FixationSequence[Fixation[324,534], ..., Fixation[1357,534]]",37.0,1073.0,229.0,1073.0,229.0,1073.0,229.0,1073.0,229.0,1073.0,229.0,1073.0,229.0,1073.0,229.0,1073.0,229.0,legal_nonword
37,3,87,"['trial 38 start', 'trial 38 end']","FixationSequence[Fixation[333,544], ..., Fixation[1309,537]]",simple,1,island,island,The beauty of this amazing X is one of my best memories.,26,61,-224.0,The beauty of this amazing , is one of my best memories.,trial,TextBlock[The beauty of thi...],"FixationSequence[Fixation[333,534], ..., Fixation[1309,534]]",N,"FixationSequence[Fixation[333,534], ..., Fixation[1309,534]]","FixationSequence[Fixation[333,534], ..., Fixation[1309,534]]","FixationSequence[Fixation[333,534], ..., Fixation[1309,534]]",38.0,239.0,239.0,239.0,,239.0,239.0,239.0,,239.0,239.0,239.0,,239.0,239.0,239.0,,identical
38,3,88,"['trial 39 start', 'trial 39 end']","FixationSequence[Fixation[325,536], ..., Fixation[1586,530]]",simple,2,lettuce,lettuce,To their frustration only some X and corn would grow in this poor soil.,30,77,-160.0,To their frustration only some , and corn would grow in this poor soil.,trial,TextBlock[To their frustrat...],"FixationSequence[Fixation[325,534], ..., Fixation[1586,534]]",N,"FixationSequence[Fixation[325,534], ..., Fixation[1586,534]]","FixationSequence[Fixation[325,534], ..., Fixation[1586,534]]","FixationSequence[Fixation[325,534], ..., Fixation[1586,534]]",39.0,330.0,330.0,330.0,,330.0,330.0,330.0,,330.0,330.0,330.0,,330.0,330.0,330.0,,identical
39,3,89,"['trial 40 start', 'trial 40 end']","FixationSequence[Fixation[334,544], ..., Fixation[1378,527]]",complex,3,northern,nirtego ,This is the great X tradition of coffee breaks called fika.,17,66,-368.0,This is the great , tradition of coffee breaks called fika.,trial,TextBlock[This is the great...],"FixationSequence[Fixation[334,534], ..., Fixation[1378,534]]",N,"FixationSequence[Fixation[334,534], ..., Fixation[1372,534]]","FixationSequence[Fixation[334,534], ..., Fixation[1378,534]]","FixationSequence[Fixation[334,534], ..., Fixation[1372,534]]",40.0,299.0,299.0,811.0,,299.0,299.0,811.0,,299.0,299.0,811.0,,299.0,299.0,811.0,,legal_nonword
40,3,90,"['trial 41 start', 'trial 41 end']","FixationSequence[Fixation[326,532], ..., Fixation[1626,525]]",complex,4,furious,wlxdhty,I'm still incredibly X that I wasn't invited to the birthday party.,20,73,-320.0,I'm still incredibly , that I wasn't invited to the birthday party.,trial,TextBlock[I'm still incredi...],"FixationSequence[Fixation[326,534], ..., Fixation[1626,534]]",N,"FixationSequence[Fixation[326,534], ..., Fixation[1626,534]]","FixationSequence[Fixation[401,534], ..., Fixation[1626,534]]","FixationSequence[Fixation[401,534], ..., Fixation[1626,534]]",41.0,420.0,420.0,420.0,,420.0,420.0,420.0,,420.0,420.0,420.0,,420.0,420.0,420.0,,illegal_nonword
