index,morph_type,lst_type,target,preview,sentence
56,complex,4,vigilance,vigilanza,I appreciate your tireless X in getting the truth out there.
57,complex,1,european,european,Half of the recent X car sales are reported to be electric cars.
58,complex,2,historic,historic,What an excitingly X setting for the last race of the season.
59,complex,3,humidity,umidità ,I think higher X feels worse than having higher temperatures.
60,complex,4,jealousy,gelosia ,They displayed a certain X over Audrey's sudden freedom.
61,complex,1,northern,northern,It's located between X Spain and the south of France.
62,complex,2,vastness,vastness,The snowy white X of the North Pole makes it difficult to survive.
63,complex,3,asthmatic,asmatico ,He quickly became X and had trouble breathing.
64,complex,4,luxurious,lussuoso ,Sasha definitely had X tastes when it came to desserts.
65,simple,1,change,plagro,There has been no huge X in the use of this tool in the last decade.
66,simple,2,example,ynbhrzv,We must consider the previous X of collaboration between the two labs.
67,simple,3,genius,ganis ,She is one of those X characters who don't work hard but succeed anyway.
68,simple,4,horror,mgdkzq,Think of it as a typical X film where the monsters end up defeated.
69,simple,1,hybrid,nobred,I decided to invent X bicycles because the planet needed our help.
70,simple,2,hygiene,dzvjfcp,You need good X in the operating room.
71,simple,3,island,ipand ,Our own little X of personal space is our table in the restaurant.
72,simple,4,lettuce,bvqsyzf,This will keep your X fresh and crunchy all week long.
73,simple,1,marathon,paratron,The important thing during X training is not to run too quickly.
74,simple,2,molecule,phdtsnfv,For the journey every X will be reused in this sustainable spaceship.
75,simple,3,mountain,moaprain,After this one there will be another X before the end of our quest.
76,simple,4,nephew,xkrvmy,Only a special X would agree to help his uncle for a year.
77,simple,1,nostril,nitiro ,In the right X there was a little circular piercing.
78,simple,2,paddle,jxnhvr,Only one old blue X was left in the boat when they checked.
79,simple,3,parcel,capel ,Jane recognised the bright X containing the books she had ordered.
80,simple,4,plaque,brjtsd,The best way to eliminate X between your teeth is brushing them well.
81,simple,1,platoon,plutian,Last summer our former X went through training runs every morning.
82,simple,2,prophet,wzsyxcn,He found the young X at the back of the church.
83,simple,3,recruit,rotrait,It looked like the newest X was going to fail his exams.
84,simple,4,resource,jylbkndg,The course introduces X management to combat global warning.
85,simple,1,rhythm,romto ,He found a good X in the second quarter and scored thirty points.
86,simple,2,school,zyntdg,With so much X work to do they didn't have time to travel much.
87,simple,3,sphere,spora ,Inside there was a light X resting on a pillow.
88,simple,4,spinach,gfvtxwb,After a short wait seven X bowls were brought to the table.
89,simple,1,sponge,plande,This type of natural X is exactly what you need to clean your house.
90,simple,2,surprise,vbqjyzch,John could always X Jane on their anniversary.
91,simple,3,synagogue,sonacoge ,You may expect every X to be different in some way.
92,simple,4,theorem,wnbpjdc,It is a solid X now despite the time it took to prove it.
93,simple,1,throne,torne ,He dashed into the crowded X room without hesitation.
94,simple,2,trumpet,ljxwfdv,You shall be a fearless X of truth and a voice of godly influence.
95,simple,3,vehicle,venacre,Yesterday I saw another X on that street in the middle of the day.
96,simple,4,yellow,vmfqhk,There were large X plates on the table for the main course.
97,complex,1,romantics,rolantice,All of those X out there believe that her lover married her.
98,complex,2,sanity,rvxghd,Any hope of a future X depended on our willingness to listen.
99,complex,3,acidity,agidito,Some slight additional X can always improve the taste.
100,complex,4,audible,zpngfvj,The dog is definitely X when he spots a cat down the street.
101,complex,1,density,donsiti,We need the right X of reflective bits to decrease solar radiation.
102,complex,2,furious,wlxdhty,I'm still incredibly X that I wasn't invited to the birthday party.
103,complex,3,nervous,neprous,She was especially X before the test since she hadn't studied.
104,complex,4,signals,mdhvcrk,Maybe some of those X aren't coming from outer space.
105,complex,1,soloist,saloiso,Jessica was a former X for the national orchestra in Paris.
106,complex,2,zealous,mjkpvgw,Max was a little X at first when talking to strangers.
107,complex,3,bandages,bagnades,Please change your X every two days for it to heal.
108,complex,4,eruption,yhsdcqjk,A completely unexpected X from the moka sprayed coffee on the walls.
109,complex,1,firmness,filodesa,She detected an unusual X during a routine examination.
110,complex,2,fortress,ydnxklgm,John had made a personal X of his library and was a private scholar.
111,complex,3,genetics,gedetici,That is partly about X and partly about how you were raised.
112,complex,4,glorious,qnvyzfkt,He would have been truly X as a king in his prime.
113,complex,1,gracious,crapinus,While still sounding X and complimenting his employees he resigned.
114,complex,2,pianists,zhwvjlmx,It's impressive how effortlessly X improvise when playing jazz.
115,complex,3,sculptor,snuletor,A very controversial X designed this piece last year.
116,complex,4,violence,qfxghkjr,Let's talk about X in a home environment between parents.
117,complex,1,dignified,dinnisito,He doesn't deserve a graceful X exit after what he's done.
118,complex,2,greatness,wxlmhfyvk,George is exceptional at seeing X in someone young and training them.
119,complex,3,sensitive,sessipive,There’s a possibility X data has been transmitted to scammers.
120,complex,4,vigilance,krmwsbpyj,He needs great X for the task at hand to avoid making mistakes.
121,complex,1,european,erropea ,That's a very X point of view on recycling.
122,complex,2,historic,jznbvpdw,For this important X event to occur we need genuine cooperation.
123,complex,3,humidity,umiditi ,Try to maintain the right X and temperature to prevent spoiling.
124,complex,4,jealousy,fmdwqrzt,A touch of friendly X can put a spark in a relationship.
125,complex,1,northern,nirtego ,This is the great X tradition of coffee breaks called fika.
126,complex,2,vastness,hfgpmwyx,She dreamt about green X filled with sweeping winds and fishing boats.
127,complex,3,asthmatic,ostamati ,Children often experience X attacks as a result of tobacco smoke.
128,complex,4,luxurious,tpchgfdjk,They were moved to relatively X quarters when they complained.
