index,English,sentence,X_pos,full_sentence,len,collocation_text,COCA_count,COCA_fpmw,COCA_Zipf
65,change,There has been no huge X in its use in the last decade.,24,There has been no huge change in its use in the last decade.,60,huge change,287,286.538,2.457
66,example,We must consider the previous X of collaboration between the two labs.,31,We must consider the previous example of collaboration between the two labs.,76,previous example,110,109.823,2.041
67,genius,She is one of those X characters who don't work hard but succeed anyway.,21,She is one of those genius characters who don't work hard but succeed anyway.,77,those genius,9,8.986,0.954
68,horror,Think of it as a typical X film where the monsters end up defeated.,26,Think of it as a typical horror film where the monsters end up defeated.,72,typical horror,9,8.986,0.954
69,hybrid,I invented X bicycles because the planet needed our help.,12,I invented hybrid bicycles because the planet needed our help.,62,invented hybrid,0,0.000,
70,hygiene,You need good X if you're going to succeed at the interview.,15,You need good hygiene if you're going to succeed at the interview.,66,good hygiene,88,87.858,1.944
71,island,Our own little X of personal space is our table in the restaurant.,16,Our own little island of personal space is our table in the restaurant.,71,little island,314,313.495,2.496
72,lettuce,This will keep your X fresh and crunchy all week long.,21,This will keep your lettuce fresh and crunchy all week long.,60,your lettuce,24,23.961,1.380
73,marathon,The important thing during X training is not to run too quickly.,28,The important thing during marathon training is not to run too quickly.,71,during marathon,16,15.974,1.203
74,molecule,For the journey every X will be reused in this sustainable spaceship.,23,For the journey every molecule will be reused in this sustainable spaceship.,76,every molecule,102,101.836,2.008
75,mountain,After this one there will be another X before the end of our quest.,38,After this one there will be another mountain before the end of our quest.,74,another mountain,81,80.870,1.908
76,nephew,Only a special X would agree to help his uncle for a year.,16,Only a special nephew would agree to help his uncle for a year.,63,special nephew,2,1.997,0.300
77,nostril,In the right X there was a little circular piercing.,14,In the right nostril there was a little circular piercing.,58,right nostril,46,45.926,1.662
78,paddle,Only one old blue X was left in the boat when they checked.,19,Only one old blue paddle was left in the boat when they checked.,64,blue paddle,2,1.997,0.300
79,parcel,Jane recognised the bright X containing the books she had ordered.,28,Jane recognised the bright parcel containing the books she had ordered.,71,bright parcel,0,0.000,
80,plaque,The best way to eliminate X between your teeth is brushing them well.,27,The best way to eliminate plaque between your teeth is brushing them well.,74,eliminate plaque,0,0.000,
81,platoon,Last summer our entire X went through training runs every morning.,24,Last summer our entire platoon went through training runs every morning.,72,entire platoon,24,23.961,1.380
82,prophet,He found the young X at the back of the church.,20,He found the young prophet at the back of the church.,53,young prophet,6,5.990,0.777
83,recruit,It looked like the newest X was going to fail his exams.,27,It looked like the newest recruit was going to fail his exams.,62,newest recruit,14,13.977,1.145
84,resource,The course introduces X management to combat global warning.,23,The course introduces resource management to combat global warning.,67,introduces resource,0,0.000,
85,rhythm,He found a good X in the second quarter and scored thirty points.,17,He found a good rhythm in the second quarter and scored thirty points.,70,good rhythm,68,67.891,1.832
86,school,With so much X work to do they didn't have time to travel much.,14,With so much school work to do they didn't have time to travel much.,68,much school,53,52.915,1.724
87,sphere,Inside there was a light X resting on a pillow.,26,Inside there was a light sphere resting on a pillow.,52,light sphere,3,2.995,0.476
88,spinach,After a short wait seven X bowls were brought to the table.,26,After a short wait seven spinach bowls were brought to the table.,65,seven spinach,0,0.000,
89,sponge,This type of natural X is exactly what you need to clean your house.,22,This type of natural sponge is exactly what you need to clean your house.,73,natural sponge,3,2.995,0.476
90,surprise,John could always X Jane on their anniversary.,19,John could always surprise Jane on their anniversary.,53,always surprise,39,38.937,1.590
91,synagogue,You may expect every X to be different in some way.,22,You may expect every synagogue to be different in some way.,59,every synagogue,15,14.976,1.175
92,theorem,It is a solid X now despite the time it took to prove it.,15,It is a solid theorem now despite the time it took to prove it.,63,solid theorem,0,0.000,
93,throne,Matthew dashed into the crowded X room with the pineapple.,33,Matthew dashed into the crowded throne room with the pineapple.,63,crowded throne,2,1.997,0.300
94,trumpet,You shall be a fearless X of truth and a voice of godly influence.,25,You shall be a fearless trumpet of truth and a voice of godly influence.,72,fearless trumpet,1,0.998,-0.001
95,vehicle,Yesterday I saw another X on that street in the middle of the day.,25,Yesterday I saw another vehicle on that street in the middle of the day.,72,another vehicle,350,349.437,2.543
96,yellow,There were large X plates on the table for the main course.,18,There were large yellow plates on the table for the main course.,64,large yellow,212,211.659,2.326
97,romantics,All of those X out there believe that her lover married her.,14,All of those romantics out there believe that her lover married her.,68,those romantics,2,1.997,0.300
98,sanity,Any hope of a future X depended on our willingness to listen.,22,Any hope of a future sanity depended on our willingness to listen.,66,future sanity,2,1.997,0.300
99,acidity,Some slight additional X can always improve the taste.,24,Some slight additional acidity can always improve the taste.,60,additional acidity,0,0.000,
100,audible,The dog is definitely X when he spots a cat down the street.,23,The dog is definitely audible when he spots a cat down the street.,66,definitely audible,0,0.000,
101,density,We need the right X of reflective bits to decrease solar radiation.,19,We need the right density of reflective bits to decrease solar radiation.,73,right density,5,4.992,0.698
102,furious,I'm still incredibly X that I wasn't invited to the birthday party.,22,I'm still incredibly furious that I wasn't invited to the birthday party.,73,incredibly furious,0,0.000,
103,nervous,She was especially X before the test since she hadn't studied.,20,She was especially nervous before the test since she hadn't studied.,68,especially nervous,19,18.969,1.278
104,signals,Maybe some of those X aren't coming from outer space.,21,Maybe some of those signals aren't coming from outer space.,59,those signals,146,145.765,2.164
105,soloist,Jessica was a former X for the national orchestra in Paris.,22,Jessica was a former soloist for the national orchestra in Paris.,65,former soloist,2,1.997,0.300
106,zealous,Max was a little X at first when talking to strangers.,18,Max was a little zealous at first when talking to strangers.,60,little zealous,5,4.992,0.698
107,bandages,Please change your X every two days for it to heal.,20,Please change your bandages every two days for it to heal.,58,your bandages,18,17.971,1.255
108,eruption,A completely unexpected X from the moka sprayed coffee on the walls.,25,A completely unexpected eruption from the moka sprayed coffee on the walls.,75,unexpected eruption,1,0.998,-0.001
109,firmness,She detected an unusual X during a routine examination.,25,She detected an unusual firmness during a routine examination.,62,unusual firmness,2,1.997,0.300
110,fortress,John had made a personal X of his library and was a private scholar.,26,John had made a personal fortress of his library and was a private scholar.,75,personal fortress,2,1.997,0.300
111,genetics,That is partly about X and partly about how you were raised.,22,That is partly about genetics and partly about how you were raised.,67,about genetics,94,93.849,1.972
112,glorious,He would have been truly X as a king in his prime.,26,He would have been truly glorious as a king in his prime.,57,truly glorious,20,19.968,1.300
113,gracious,While still sounding X and complimenting his employees he resigned.,22,While still sounding gracious and complimenting his employees he resigned.,74,sounding gracious,1,0.998,-0.001
114,pianists,It's impressive how effortlessly X improvise when playing jazz.,34,It's impressive how effortlessly pianists improvise when playing jazz.,70,effortlessly pianists,0,0.000,
115,sculptor,A very controversial X designed this piece last year.,22,A very controversial sculptor designed this piece last year.,60,controversial sculptor,1,0.998,-0.001
116,violence,Let's talk about X in a home environment between parents.,18,Let's talk about violence in a home environment between parents.,64,about violence,551,550.114,2.740
117,dignified,He doesn't deserve a graceful X exit after what he's done.,31,He doesn't deserve a graceful dignified exit after what he's done.,66,graceful dignified,1,0.998,-0.001
118,greatness,George is exceptional at seeing X in someone young and training them.,33,George is exceptional at seeing greatness in someone young and training them.,77,seeing greatness,0,0.000,
119,sensitive,There’s a possibility X data has been transmitted to scammers.,23,There’s a possibility sensitive data has been transmitted to scammers.,70,possibility sensitive,1,0.998,-0.001
120,vigilance,He needs to maintain X on the task at hand to avoid making mistakes.,22,He needs to maintain vigilance on the task at hand to avoid making mistakes.,76,maintain vigilance,18,17.971,1.255
121,european,That's a very X point of view on recycling.,15,That's a very european point of view on recycling.,50,very european,70,69.887,1.844
122,historic,For this potentially X event to occur we need genuine cooperation.,22,For this potentially historic event to occur we need genuine cooperation.,73,potentially historic,33,32.947,1.518
123,humidity,Try to maintain the right X and temperature to prevent spoiling.,27,Try to maintain the right humidity and temperature to prevent spoiling.,71,right humidity,2,1.997,0.300
124,jealousy,A touch of friendly X mixed with pleasure is how we talk to them.,21,A touch of friendly jealousy mixed with pleasure is how we talk to them.,72,friendly jealousy,1,0.998,-0.001
125,northern,This is the great X tradition of coffee breaks called fika.,19,This is the great northern tradition of coffee breaks called fika.,66,great northern,234,233.624,2.369
126,vastness,She dreamt about green X filled with sweeping winds and fishing boats.,24,She dreamt about green vastness filled with sweeping winds and fishing boats.,77,green vastness,1,0.998,-0.001
127,asthmatic,Children often experience X attacks as a result of tobacco smoke.,27,Children often experience asthmatic attacks as a result of tobacco smoke.,73,experience asthmatic,0,0.000,
128,luxurious,They were moved to relatively X quarters when they complained.,31,They were moved to relatively luxurious quarters when they complained.,70,relatively luxurious,7,6.989,0.844
