index,morph_type,lst_type,target,preview,sentence
82,simple,1,prophet,troglet,He found the young X at the back of the church.
83,simple,2,recruit,xzmdnbq,It looked like the newest X was going to fail his exams.
84,simple,3,resource,selorca ,The course introduces X management to combat global warning.
85,simple,4,rhythm,kjxgqs,He found a good X in the second quarter and scored thirty points.
86,simple,1,school,oscolo,With so much X work to do they didn't have time to travel much.
87,simple,2,sphere,vgqmxl,Inside there was a light X resting on a pillow.
88,simple,3,spinach,slinaco,After a short wait seven X bowls were brought to the table.
89,simple,4,sponge,qmxhkc,This type of natural X is exactly what you need to clean your house.
90,simple,1,surprise,sartrine,John could always X Jane on their anniversary.
91,simple,2,synagogue,lzcrjhwfx,You may expect every X to be different in some way.
92,simple,3,theorem,cheorea,It is a solid X now despite the time it took to prove it.
93,simple,4,throne,sbzvlm,He dashed into the crowded X room without hesitation.
94,simple,1,trumpet,prembe ,You shall be a fearless X of truth and a voice of godly influence.
95,simple,2,vehicle,pyjmgqd,Yesterday I saw another X on that street in the middle of the day.
96,simple,3,yellow,gollia,There were large X plates on the table for the main course.
97,complex,4,romantics,pvswfkdtb,All of those X out there believe that her lover married her.
98,complex,1,sanity,manitu,Any hope of a future X depended on our willingness to listen.
99,complex,2,acidity,lhxzfjb,Some slight additional X can always improve the taste.
100,complex,3,audible,aifible,The dog is definitely X when he spots a cat down the street.
101,complex,4,density,rfmcbvj,We need the right X of reflective bits to decrease solar radiation.
102,complex,1,furious,farinus,I'm still incredibly X that I wasn't invited to the birthday party.
103,complex,2,nervous,mwcyqdg,She was especially X before the test since she hadn't studied.
104,complex,3,signals,sibnalo,Maybe some of those X aren't coming from outer space.
105,complex,4,soloist,rbgvhkf,Jessica was a former X for the national orchestra in Paris.
106,complex,1,zealous,teamosi,Max was a little X at first when talking to strangers.
107,complex,2,bandages,hkyqmfrp,Please change your X every two days for it to heal.
108,complex,3,eruption,ecaptian,A completely unexpected X from the moka sprayed coffee on the walls.
109,complex,4,firmness,btjwqdyl,She detected an unusual X during a routine examination.
110,complex,1,fortress,firtesco,John had made a personal X of his library and was a private scholar.
111,complex,2,genetics,jwxmbryz,That is partly about X and partly about how you were raised.
112,complex,3,glorious,groritus,He would have been truly X as a king in his prime.
113,complex,4,gracious,vkmlyhjw,While still sounding X and complimenting his employees he resigned.
114,complex,1,pianists,peaniste,It's impressive how effortlessly X improvise when playing jazz.
115,complex,2,sculptor,jzghxmfq,A very controversial X designed this piece last year.
116,complex,3,violence,vielerce,Let's talk about X in a home environment between parents.
117,complex,4,dignified,lpxqhcvkm,He doesn't deserve a graceful X exit after what he's done.
118,complex,1,greatness,grentieno,George is exceptional at seeing X in someone young and training them.
119,complex,2,sensitive,qhgrxzpcw,There’s a possibility X data has been transmitted to scammers.
120,complex,3,vigilance,vagilasce,He needs great X for the task at hand to avoid making mistakes.
121,complex,4,european,gkmlcdht,That's a very X point of view on recycling.
122,complex,1,historic,miscori ,For this important X event to occur we need genuine cooperation.
123,complex,2,humidity,zrbncpfg,Try to maintain the right X and temperature to prevent spoiling.
124,complex,3,jealousy,fialoti ,A touch of friendly X can put a spark in a relationship.
125,complex,4,northern,qsxpzmbk,This is the great X tradition of coffee breaks called fika.
126,complex,1,vastness,virteso ,She dreamt about green X filled with sweeping winds and fishing boats.
127,complex,2,asthmatic,xvbwkgqly,Children often experience X attacks as a result of tobacco smoke.
128,complex,3,luxurious,lupritta ,They were moved to relatively X quarters when they complained.
