index,morph_type,affix_onset_indice,LD,Italian,English,Legal_non,LD: Eng vs nonword,illegal_nonword,sentence1,sentence2
31,simple,,3,veicolo,vehicle,lenicre,3,pyjmgqd,It's definitely a great X but it might not fit the whole family.,Yesterday another X was also on that street in the middle of the day.
32,simple,,4,giallo,yellow,follin,4,vmfqhk,Yesterday he declared X alerts for several areas.,On the table there were large X plates for the main course.
33,complex,3,2,arcata,arcade,ardude,2,pvswfk,I was looking for a different X because I don't like this one.,It's definitely a traditional X so it has lots of fun games.
34,complex,3,1,sanità,sanity,manitu,2,rvxghd,Let's please bring some X back into this debate.,They proved their X by showing their willingness to listen.
35,complex,4,1,acidità,acidity,agidito,2,lhxzfjb,You can increase X by adding lemon juice to the mixture.,Some slight X can always improve the taste.
36,complex,3,2,udibile,audible,aifible,2,zpngfvj,It was almost X how excited she was at the news.,The dog is definitely X when he spots a cat down the street.
37,complex,4,1,densità,density,donsiti,2,rfmcbvj,We're at the right X to not float away into space.,It's true that X times volume equals mass of the object.
38,complex,4,2,furioso,furious,fareous,2,wlxdhty,Brian was X about the grade he got so he complained.,I'm still X that I wasn't invited to the birthday party.
39,complex,4,2,nervoso,nervous,bergous,2,mwcyqdg,With increasingly X energy she ran faster.,She was especially X before the test since she hadn't studied.
40,complex,4,2,segnali,signals,sigrans,2,mdhvcrk,He displayed X on the side of the field to remind players of the strategy.,Maybe those X aren't coming from aliens or outer space.
41,complex,3,2,solista,soloist,sapoist,2,rbgvhkf,The only X in the orchestra was a violin player.,Aunt Jessica was a former X for the national orchestra when she was younger.
42,complex,3,5,zelante,zealous,teomius,4,mjkpvgw,Some people are more X than others at church.,Max was a little X at first when talking to strangers.
43,complex,4,3,bendaggi,bandages,bagnades,3,hkyqmfrp,,
44,complex,3,3,eruzione,eruption,ecaptian,3,yhsdcqjk,,
45,complex,4,5,fermezza,firmness,sildnesm,4,btjwqdyl,,
46,complex,4,4,fortezza,fortress,farnrech,4,ydnxklgm,,
47,complex,4,1,genetica,genetics,gedetict,2,jwxmbryz,,
48,complex,5,2,gloriosa,glorious,groriaus,2,qnvyzfkt,,
49,complex,4,3,grazioso,gracious,clapious,3,vkmlyhjw,,
50,complex,4,1,pianisti,pianists,peanists,1,zhwvjlmx,,
51,complex,5,2,scultore,sculptor,snulstor,2,jzghxmfq,,
52,complex,4,2,violenza,violence,vielerce,2,qfxghkjr,,
53,complex,6,4,dignitoso,dignified,fillifien,4,lpxqhcvkm,,
54,complex,5,6,grandezza,greatness,griaplent,5,wxlmhfyvk,,
55,complex,4,2,sensibile,sensitive,sessipive,2,qhgrxzpcw,,
56,complex,5,2,vigilanza,vigilance,rigalance,2,krmwsbpyj,,
57,complex,5,2,europeo,european,aurolean,2,gkmlcdht,,
58,complex,4,3,storico,historic,miscorin,3,jznbvpdw,,
59,complex,4,2,umidità,humidity,bumiditi,2,zrbncpfg,,
60,complex,4,5,gelosia,jealousy,fialoast,4,fmdwqrzt,,
61,complex,4,5,nordico,northern,naptrerd,4,qsxpzmbk,,
62,complex,4,4,vastità,vastness,martrest,4,hfgpmwyx,,
63,complex,4,3,asmatico,asthmatic,ostrmatip,3,xvbwkgqly,He quickly became X and had trouble breathing.,He was X so no one wanted John on their team.
64,complex,5,6,lussuoso,luxurious,puparioan,5,tpchgfdjk,,
