index,English,sentence,pre_target,comprehension_statement,TRUE/FALSE
61,northern,It's located between X Spain and the south of France.,It's located between ,It's near Spain.,T
62,vastness,The snowy white X of the North Pole makes it difficult to survive.,The snowy white ,The North Pole is dangerous because of bears.,F
63,asthmatic,He quickly became X and had trouble breathing.,He quickly became ,He needs medical help.,T
64,luxurious,Sasha definitely had X tastes when it came to desserts.,Sasha definitely had ,Sasha isn't picky with her food.,F
65,change,There has been no huge X in its use in the last decade.,There has been no huge ,It's been used in lots of different ways recently.,F
66,example,We must consider the previous X of collaboration between the two labs.,We must consider the previous ,The labs have worked together before.,T
67,genius,She is one of those X characters who don't work hard but succeed anyway.,She is one of those ,She works a lot.,F
68,horror,Think of it as a typical X film where the monsters end up defeated.,Think of it as a typical ,There's a happy ending.,T
69,hybrid,I invented X bicycles because the planet needed our help.,I invented ,The sentence said that bicycles aren't as fast as cars.,F
70,hygiene,You need good X if you're going to succeed at the interview.,You need good ,This person is giving advice.,T
71,island,Our own little X of personal space is our table in the restaurant.,Our own little ,They people love being in crowds.,F
72,lettuce,This will keep your X fresh and crunchy all week long.,This will keep your ,This is a food conservation tip.,T
73,marathon,The important thing during X training is not to run too quickly.,The important thing during ,This is a tip on what to wear for running a marathon.,F
74,molecule,For the journey every X will be reused in this sustainable spaceship.,For the journey every ,The spaceship doesn't waste anything.,T
75,mountain,After this one there will be another X before the end of our quest.,After this one there will be another ,The quest is going to be flat after this mountain.,F
76,nephew,Only a special X would agree to help his uncle for a year.,Only a special ,The nephew is a very nice person.,T
77,nostril,In the right X there was a little circular piercing.,In the right ,This person has a pierced ear.,F
78,paddle,Only one old blue X was left in the boat when they checked.,Only one old blue ,They looked in the boat for a paddle.,T
79,parcel,Jane recognised the bright X containing the books she had ordered.,Jane recognised the bright ,Jane didn't expect a parcel.,F
80,plaque,The best way to eliminate X between your teeth is brushing them well.,The best way to eliminate ,This talks about health.,T
81,platoon,Last summer our entire X went through training runs every morning.,Last summer our entire ,Only part of the group went on runs together.,F
82,prophet,He found the young X at the back of the church.,He found the young ,He found a religious man.,T
83,recruit,It looked like the newest X was going to fail his exams.,It looked like the newest ,The recruit is performing well.,F
84,resource,The course introduces X management to combat global warning.,The course introduces ,This is a lesson to help the planet.,T
85,rhythm,He found a good X in the second quarter and scored thirty points.,He found a good ,The second quarter didn't go very well.,F
86,school,With so much X work to do they didn't have time to travel much.,With so much ,They were very busy already.,T
87,sphere,Inside there was a light X resting on a pillow.,Inside there was a light ,The sphere was darkly coloured.,F
88,spinach,After a short wait seven X bowls were brought to the table.,After a short wait seven ,It is probably time to eat.,T
89,sponge,This type of natural X is exactly what you need to clean your house.,This type of natural ,This is about cleaning a car.,F
90,surprise,John could always X Jane on their anniversary.,John could always ,John and Jane are married.,T
91,synagogue,You may expect every X to be different in some way.,You may expect every ,Most synagogues looks quite similar.,F
92,theorem,It is a solid X now despite the time it took to prove it.,It is a solid ,It's a trusted theory.,T
93,throne,Matthew dashed into the crowded X room with the pineapple.,Matthew dashed into the crowded ,Matthew was holding a sword.,F
94,trumpet,You shall be a fearless X of truth and a voice of godly influence.,You shall be a fearless ,You're not going to be afraid of anything.,T
95,vehicle,Yesterday I saw another X on that street in the middle of the day.,Yesterday I saw another ,There were no other cars on that street.,F
96,yellow,There were large X plates on the table for the main course.,There were large ,The plates for the main course were big.,T
97,romantics,All of those X out there believe that her lover married her.,All of those ,Their love story didn't end well.,F
98,sanity,Any hope of a future X depended on our willingness to listen.,Any hope of a future ,We need to pay attention to what's being said.,T
99,acidity,Some slight additional X can always improve the taste.,Some slight additional ,Try to avoid acidity in food.,F
100,audible,The dog is definitely X when he spots a cat down the street.,The dog is definitely ,The dog starts barking when he sees a cat.,T
101,density,We need the right X of reflective bits to decrease solar radiation.,We need the right ,Density of reflective bits isn't so important.,F
102,furious,I'm still incredibly X that I wasn't invited to the birthday party.,I'm still incredibly ,The person is very disappointed to not be invited.,T
103,nervous,She was especially X before the test since she hadn't studied.,She was especially ,She was nervous despite having revised.,F
104,signals,Maybe some of those X aren't coming from outer space.,Maybe some of those ,The signals might be coming from another source.,T
105,soloist,Jessica was a former X for the national orchestra in Paris.,Jessica was a former ,Jessica is still in the national orchestra.,F
106,zealous,Max was a little X at first when talking to strangers.,Max was a little ,Max is talking to people that he doesn't know.,T
107,bandages,Please change your X every two days for it to heal.,Please change your ,The bandages need to be cleaned every week.,F
108,eruption,A completely unexpected X from the moka sprayed coffee on the walls.,A completely unexpected ,It made a very big mess.,T
109,firmness,She detected an unusual X during a routine examination.,She detected an unusual ,Everything was normal during the examination.,F
110,fortress,John had made a personal X of his library and was a private scholar.,John had made a personal ,John has a lot of books to study.,T
111,genetics,That is partly about X and partly about how you were raised.,This is partly about ,Your childhood is the only thing that matters.,F
112,glorious,He would have been truly X as a king in his prime.,He would have been truly ,He would have been a great ruler.,T
113,gracious,While still sounding X and complimenting his employees he resigned.,While still sounding ,He was complimenting his employees to get promoted.,F
114,pianists,It's impressive how effortlessly X improvise when playing jazz.,It's impressive how effortlessly ,Jazz pianists make improvisation sound easy.,T
115,sculptor,A very controversial X designed this piece last year.,A very controversial ,This is an old piece by a famous sculptor.,F
116,violence,Let's talk about X in a home environment between parents.,Let's talk about ,It would be better if this didn't happen.,T
117,dignified,He doesn't deserve a graceful X exit after what he's done.,He doesn't deserve a graceful ,He's been a good employee so it's sad he's leaving.,F
118,greatness,George is exceptional at seeing X in someone young and training them.,George is exceptiona at seeing ,George can tell if someone if worth teaching.,T
119,sensitive,There’s a possibility X data has been transmitted to scammers.,There's a possibility ,Sensitive data was kept safe from scammers.,F
120,vigilance,He needs to maintain X on the task at hand to avoid making mistakes.,He needs to maintain ,He needs to be very careful about what he's doing.,T
121,european,That's a very X point of view on recycling.,That's a very ,Europeans don't think the same way about recycling.,F
122,historic,For this potentially X event to occur we need genuine cooperation.,For this potentially ,This could be a very important event.,T
123,humidity,Try to maintain the right X and temperature to prevent spoiling.,Try to maintain the right ,You just need to keep the right temperature.,F
124,jealousy,A touch of friendly X mixed with pleasure is how we talk to them.,A touch of friendly ,We're envious of them.,T
125,northern,This is the great X tradition of coffee breaks called fika.,This is the great ,This is a tradition from Brazil.,F
126,vastness,She dreamt about green X filled with sweeping winds and fishing boats.,She dreamt about green ,She's dreaming about the beauty of nature.,T
127,asthmatic,Children often experience X attacks as a result of tobacco smoke.,Children often experience ,Children aren't in danger in this situation.,F
128,luxurious,They were moved to relatively X quarters when they complained.,They were moved to relatively ,They got an upgrade to their rooms.,T
