index,English,sentence,pre_target
81,platoon,Last summer our entire X went through training runs every morning.,Last summer our entire 
82,prophet,He found the young X at the back of the church.,He found the young 
83,recruit,It looked like the newest X was going to fail his exams.,It looked like the newest 
84,resource,The course introduces X management to combat global warning.,The course introduces 
85,rhythm,He found a good X in the second quarter and scored thirty points.,He found a good 
86,school,With so much X work to do they didn't have time to travel much.,With so much 
87,sphere,Inside there was a light X resting on a pillow.,Inside there was a light 
88,spinach,After a short wait seven X bowls were brought to the table.,After a short wait seven 
89,sponge,This type of natural X is exactly what you need to clean your house.,This type of natural 
90,surprise,John could always X Jane on their anniversary.,John could always 
91,synagogue,You may expect every X to be different in some way.,You may expect every 
92,theorem,It is a solid X now despite the time it took to prove it.,It is a solid 
93,throne,Matthew dashed into the crowded X room with the pineapple.,Matthew dashed into the crowded 
94,trumpet,You shall be a fearless X of truth and a voice of godly influence.,You shall be a fearless 
95,vehicle,Yesterday I saw another X on that street in the middle of the day.,Yesterday I saw another 
96,yellow,There were large X plates on the table for the main course.,There were large 
97,romantics,All of those X out there believe that her lover married her.,All of those 
98,sanity,Any hope of a future X depended on our willingness to listen.,Any hope of a future 
99,acidity,Some slight additional X can always improve the taste.,Some slight additional 
100,audible,The dog is definitely X when he spots a cat down the street.,The dog is definitely 
101,density,We need the right X of reflective bits to decrease solar radiation.,We need the right 
102,furious,I'm still incredibly X that I wasn't invited to the birthday party.,I'm still incredibly 
103,nervous,She was especially X before the test since she hadn't studied.,She was especially 
104,signals,Maybe some of those X aren't coming from outer space.,Maybe some of those 
105,soloist,Jessica was a former X for the national orchestra in Paris.,Jessica was a former 
106,zealous,Max was a little X at first when talking to strangers.,Max was a little 
107,bandages,Please change your X every two days for it to heal.,Please change your 
108,eruption,A completely unexpected X from the moka sprayed coffee on the walls.,A completely unexpected 
109,firmness,She detected an unusual X during a routine examination.,She detected an unusual 
110,fortress,John had made a personal X of his library and was a private scholar.,John had made a personal 
111,genetics,That is partly about X and partly about how you were raised.,That is partly about 
112,glorious,He would have been truly X as a king in his prime.,He would have been truly 
113,gracious,While still sounding X and complimenting his employees he resigned.,While still sounding 
114,pianists,It's impressive how effortlessly X improvise when playing jazz.,It's impressive how effortlessly 
115,sculptor,A very controversial X designed this piece last year.,A very controversial 
116,violence,Let's talk about X in a home environment between parents.,Let's talk about 
117,dignified,He doesn't deserve a graceful X exit after what he's done.,He doesn't deserve a graceful 
118,greatness,George is exceptional at seeing X in someone young and training them.,George is exceptional at seeing 
119,sensitive,There’s a possibility X data has been transmitted to scammers.,There’s a possibility 
120,vigilance,He needs to maintain X on the task at hand to avoid making mistakes.,He needs to maintain 
121,european,That's a very X point of view on recycling.,That's a very 
122,historic,For this potentially X event to occur we need genuine cooperation.,For this potentially 
123,humidity,Try to maintain the right X and temperature to prevent spoiling.,Try to maintain the right 
124,jealousy,A touch of friendly X mixed with pleasure is how we talk to them.,A touch of friendly 
125,northern,This is the great X tradition of coffee breaks called fika.,This is the great 
126,vastness,She dreamt about green X filled with sweeping winds and fishing boats.,She dreamt about green 
127,asthmatic,Children often experience X attacks as a result of tobacco smoke.,Children often experience 
128,luxurious,They were moved to relatively X quarters when they complained.,They were moved to relatively 
